"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jul-2021","EQ","1,096.00","1,099.35","1,081.00","1,095.45","1,085.65","1,085.15","1,087.08","1,109.40","536.05","1,459,518","1,586,616,040.75","49,293"
"30-Jun-2021","EQ","1,088.20","1,105.00","1,083.30","1,088.15","1,096.70","1,095.45","1,096.06","1,109.40","536.05","1,917,370","2,101,552,386.75","47,775"
"29-Jun-2021","EQ","1,109.00","1,109.40","1,083.00","1,105.10","1,088.95","1,088.15","1,095.11","1,109.40","536.05","2,956,332","3,237,521,521.85","64,875"
"28-Jun-2021","EQ","1,091.00","1,108.00","1,081.10","1,089.50","1,105.05","1,105.10","1,097.40","1,108.00","536.05","2,143,755","2,352,551,584.20","50,162"
"25-Jun-2021","EQ","1,087.40","1,103.20","1,077.00","1,080.00","1,085.95","1,089.50","1,090.65","1,103.20","536.05","3,200,049","3,490,121,301.75","73,477"
"24-Jun-2021","EQ","1,056.55","1,082.30","1,052.50","1,056.45","1,080.00","1,080.00","1,069.16","1,093.00","536.05","3,617,010","3,867,162,077.35","105,332"
"23-Jun-2021","EQ","1,060.00","1,062.30","1,038.45","1,057.20","1,056.00","1,056.45","1,052.65","1,093.00","536.05","4,130,539","4,348,027,008.95","102,816"
"22-Jun-2021","EQ","1,061.05","1,072.00","1,053.70","1,062.90","1,054.40","1,057.20","1,060.38","1,093.00","536.05","2,437,289","2,584,450,114.10","63,027"
"21-Jun-2021","EQ","1,059.00","1,070.05","1,055.00","1,070.70","1,061.80","1,062.90","1,062.65","1,093.00","536.05","1,074,790","1,142,125,528.55","40,228"
"18-Jun-2021","EQ","1,089.50","1,091.60","1,055.00","1,080.25","1,068.60","1,070.70","1,073.33","1,093.00","528.40","4,396,398","4,718,767,299.80","93,019"
"17-Jun-2021","EQ","1,059.95","1,084.70","1,057.05","1,069.15","1,083.10","1,080.25","1,071.97","1,093.00","528.40","3,161,931","3,389,490,625.90","99,482"
"16-Jun-2021","EQ","1,070.00","1,077.95","1,055.00","1,066.85","1,064.50","1,069.15","1,067.77","1,093.00","528.40","1,881,596","2,009,120,810.65","51,956"
"15-Jun-2021","EQ","1,069.25","1,093.00","1,061.65","1,069.25","1,065.00","1,066.85","1,076.87","1,093.00","528.40","3,484,298","3,752,147,765.45","84,287"
"14-Jun-2021","EQ","1,073.00","1,079.35","1,058.00","1,073.00","1,069.30","1,069.25","1,071.21","1,082.40","528.40","2,757,666","2,954,050,722.95","82,864"
"11-Jun-2021","EQ","1,064.90","1,082.40","1,054.90","1,064.90","1,073.00","1,073.00","1,072.37","1,082.40","528.40","4,988,857","5,349,888,609.65","98,394"
"10-Jun-2021","EQ","1,059.70","1,074.00","1,056.50","1,052.25","1,064.50","1,064.90","1,067.51","1,081.55","528.40","3,934,077","4,199,677,664.05","118,480"
"09-Jun-2021","EQ","1,057.75","1,064.45","1,046.20","1,057.75","1,056.00","1,052.25","1,057.51","1,081.55","528.40","2,163,655","2,288,081,022.10","59,015"
"08-Jun-2021","EQ","1,039.00","1,060.90","1,037.05","1,034.40","1,058.00","1,057.75","1,054.10","1,081.55","528.40","4,517,995","4,762,433,593.90","109,168"
"07-Jun-2021","EQ","1,024.95","1,038.95","1,019.45","1,019.20","1,038.00","1,034.40","1,027.90","1,081.55","528.40","1,745,475","1,794,178,747.05","37,736"
"04-Jun-2021","EQ","1,019.55","1,026.95","1,011.00","1,014.35","1,020.00","1,019.20","1,019.58","1,081.55","528.40","2,315,912","2,361,247,956.70","42,983"
"03-Jun-2021","EQ","1,016.95","1,020.75","1,007.00","1,016.95","1,017.00","1,014.35","1,012.64","1,081.55","528.40","2,024,676","2,050,257,833.55","51,002"
"02-Jun-2021","EQ","1,020.20","1,024.70","994.00","1,030.50","1,017.80","1,016.95","1,009.72","1,081.55","528.40","5,252,186","5,303,233,649.60","107,648"
"01-Jun-2021","EQ","1,024.70","1,032.00","1,013.35","1,021.65","1,030.50","1,030.50","1,024.55","1,081.55","528.40","1,262,702","1,293,707,078.40","39,937"
"31-May-2021","EQ","1,025.00","1,032.00","1,013.00","1,026.25","1,025.00","1,021.65","1,022.41","1,081.55","528.40","1,801,746","1,842,114,288.40","69,689"
"28-May-2021","EQ","1,020.00","1,033.00","1,012.60","1,019.80","1,026.00","1,026.25","1,024.20","1,081.55","512.05","1,839,013","1,883,523,703.10","57,871"
"27-May-2021","EQ","1,007.00","1,032.00","1,006.90","1,007.80","1,027.05","1,019.80","1,020.54","1,081.55","512.05","6,393,813","6,525,116,601.40","99,460"
"26-May-2021","EQ","995.65","1,012.00","993.00","992.65","1,007.75","1,007.80","1,005.20","1,081.55","512.05","2,013,788","2,024,263,565.55","59,994"
"25-May-2021","EQ","990.05","1,001.70","983.80","983.70","994.00","992.65","993.53","1,081.55","512.05","2,719,646","2,702,041,038.15","74,641"
"24-May-2021","EQ","979.80","994.00","975.10","980.50","983.30","983.70","987.83","1,081.55","512.05","1,830,838","1,808,554,981.20","40,687"
"21-May-2021","EQ","976.95","986.00","971.85","973.10","981.00","980.50","980.42","1,081.55","501.50","1,534,262","1,504,223,185.60","41,865"
"20-May-2021","EQ","984.80","984.80","965.20","977.65","972.90","973.10","972.98","1,081.55","501.50","1,769,194","1,721,388,059.05","38,665"
"19-May-2021","EQ","969.00","986.30","962.60","970.75","977.00","977.65","980.25","1,081.55","501.50","2,152,740","2,110,222,647.80","54,204"
"18-May-2021","EQ","960.35","979.00","957.05","953.35","972.35","970.75","971.82","1,081.55","501.50","2,000,985","1,944,595,235.25","60,650"
"17-May-2021","EQ","954.00","957.95","943.00","952.20","955.85","953.35","951.95","1,081.55","501.50","2,281,200","2,171,594,763.85","68,485"
"14-May-2021","EQ","963.00","966.45","941.40","962.35","950.65","952.20","951.11","1,081.55","501.50","2,090,820","1,988,589,909.15","70,622"
"12-May-2021","EQ","977.00","977.00","950.40","977.05","961.90","962.35","961.50","1,081.55","501.50","3,070,622","2,952,394,085.75","79,009"
"11-May-2021","EQ","984.00","986.95","970.50","990.50","980.00","977.05","976.93","1,081.55","501.50","2,029,457","1,982,646,674.30","50,341"
"10-May-2021","EQ","985.00","992.65","973.10","980.95","991.00","990.50","983.98","1,081.55","501.50","2,036,101","2,003,477,320.15","59,426"
"07-May-2021","EQ","980.00","984.25","972.10","977.95","981.00","980.95","978.55","1,081.55","490.00","2,002,597","1,959,642,840.40","53,912"
"06-May-2021","EQ","965.00","984.70","957.85","960.40","975.30","977.95","971.26","1,081.55","490.00","4,620,827","4,488,041,988.65","82,089"
"05-May-2021","EQ","972.60","972.60","953.75","960.40","960.50","960.40","961.02","1,081.55","490.00","3,041,045","2,922,499,103.85","57,954"
"04-May-2021","EQ","964.00","969.90","955.60","957.70","958.95","960.40","961.83","1,081.55","490.00","4,064,221","3,909,103,882.15","58,350"
"03-May-2021","EQ","960.00","965.00","955.00","960.40","957.00","957.70","960.41","1,081.55","490.00","3,506,839","3,367,999,259.55","54,536"
"30-Apr-2021","EQ","973.80","976.90","955.40","976.90","958.85","960.40","968.21","1,081.55","490.00","3,129,105","3,029,643,105.85","70,097"
"29-Apr-2021","EQ","985.00","985.00","970.55","977.40","974.60","976.90","977.28","1,081.55","490.00","2,747,579","2,685,149,399.00","62,023"
"28-Apr-2021","EQ","975.00","980.00","968.00","969.25","977.90","977.40","974.22","1,081.55","490.00","2,968,625","2,892,098,130.60","83,143"
"27-Apr-2021","EQ","962.70","987.60","944.15","962.20","968.80","969.25","962.64","1,081.55","490.00","10,497,935","10,105,775,202.90","209,748"
"26-Apr-2021","EQ","951.00","970.00","937.00","950.20","970.00","962.20","949.75","1,081.55","490.00","5,053,998","4,800,042,349.50","84,936"
"23-Apr-2021","EQ","966.50","970.95","945.40","967.80","950.70","950.20","956.89","1,081.55","490.00","3,916,517","3,747,659,078.75","88,645"
"22-Apr-2021","EQ","973.60","985.50","960.65","983.40","966.00","967.80","970.94","1,081.55","490.00","5,085,190","4,937,406,514.00","127,360"
"20-Apr-2021","EQ","996.00","1,007.50","973.35","1,000.10","980.90","983.40","986.91","1,081.55","490.00","4,028,636","3,975,899,486.85","80,344"
"19-Apr-2021","EQ","999.10","1,009.40","983.30","1,010.30","996.05","1,000.10","998.12","1,081.55","490.00","2,777,425","2,772,205,628.00","80,377"
"16-Apr-2021","EQ","998.00","1,013.50","996.00","993.15","1,005.00","1,010.30","1,005.79","1,081.55","490.00","2,660,763","2,676,180,540.30","59,313"
"15-Apr-2021","EQ","1,001.85","1,007.80","970.30","1,001.85","992.00","993.15","992.52","1,081.55","490.00","4,373,215","4,340,486,471.65","109,988"
"13-Apr-2021","EQ","1,045.00","1,050.25","983.00","1,039.85","1,005.00","1,001.85","1,002.91","1,081.55","490.00","6,448,995","6,467,768,163.90","120,182"
"12-Apr-2021","EQ","1,051.00","1,059.05","1,016.80","1,053.00","1,039.85","1,039.85","1,035.38","1,081.55","490.00","7,896,295","8,175,635,553.55","138,618"
"09-Apr-2021","EQ","1,028.95","1,056.80","1,016.55","1,029.00","1,051.00","1,053.00","1,040.36","1,081.55","490.00","6,029,994","6,273,378,015.85","110,005"
"08-Apr-2021","EQ","1,008.00","1,049.85","1,005.00","1,002.40","1,028.55","1,029.00","1,031.44","1,081.55","490.00","6,737,118","6,948,939,994.25","150,807"
"07-Apr-2021","EQ","992.00","1,005.65","982.10","991.35","1,000.20","1,002.40","996.20","1,081.55","490.00","2,974,419","2,963,106,334.15","73,301"
"06-Apr-2021","EQ","1,006.00","1,008.00","988.55","997.70","992.00","991.35","998.14","1,081.55","490.00","2,395,572","2,391,125,209.15","72,684"
"05-Apr-2021","EQ","992.00","1,007.20","978.20","992.15","998.60","997.70","996.23","1,081.55","490.00","5,118,272","5,098,979,277.25","110,183"
"01-Apr-2021","EQ","1,000.00","1,007.80","986.00","991.45","990.20","992.15","994.99","1,081.55","485.65","3,555,291","3,537,485,541.65","81,967"
